"Source:","/home/tamas/general/holobone/hardware/cape/holobone.sch"
"Date:","Sat 12 Dec 2020 08:17:06 PM GMT"
"Tool:","Eeschema 5.1.6-c6e7f7d~87~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Store"
"","","C1","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C3","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C4","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C5","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2792994.pdf","https://uk.farnell.com/tdk/c2012x5r1h475k125ab/cap-4-7-f-50v-10-x5r-0805/dp/2346932"
"","","C7","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C8","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C9","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2802608.pdf","https://uk.farnell.com/tdk/cga4j2x7r2a104k125aa/cap-0-1-f-100v-10-x7r-0805/dp/2210962"
"","","C10","3.3uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","http://www.farnell.com/datasheets/2792994.pdf","https://uk.farnell.com/tdk/c2012x7r1e335k125ab/cap-3-3-f-25v-10-x7r-0805/dp/2346942"
